,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Monthly CVaR 95%
DRL PPO (Validation),2.1891149780600965,0.47193983619283864,0.12021216780875227,3.9258907379796724,-0.055383176031269854,0.03366190150904121
DRL PPO (Test),1.4702943364509973,0.25368138004045804,0.15302692817277017,1.6577564685481183,-0.18958575409108236,0.07847981801731134
"Equal Weight 1/3 (Test, Recomputed)",0.1387354967973924,0.0330128281030746,0.1197535928044644,0.27567296587901524,-0.21238323601971065,0.06456546694801692
"Static 60/40/0 (Test, Recomputed)",0.13142179591280279,0.031350147906511916,0.14486791801946103,0.21640504215916495,-0.2622512457734836,0.079694641404295
"Buy and Hold SPY (Test, Recomputed)",0.659782145804118,0.1350441956479802,0.16102140491244626,0.8386723226108299,-0.23927178782308078,0.08755846551621704
