,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Monthly CVaR 95%
Original Dynamic SPY/TLT,2.182456660062907,0.08620452329467798,0.09695441725120801,0.8891242476484887,-0.28271673732476066,0.0569605359080617
Enhanced Dynamic SPY/TLT/GLD,2.3750418565566465,0.09077261490129551,0.09156865212354652,0.9913066622278444,-0.22666869783179255,0.04627569370860643
Static 60/40,2.5348139944994266,0.09438224970386533,0.10048743645400227,0.9392442780353785,-0.26225124577348347,0.059864528630025324
Equal Weight 1/3,1.633229632074506,0.07160543977444833,0.09445387266662532,0.7580995649292172,-0.21238323601971076,0.04924566963941416
Buy and Hold SPY,5.021696162430624,0.1368265368742161,0.1424239713494013,0.9606987895215103,-0.23927178782308078,0.08411744057397964
