,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Monthly CVaR 95%
GFC Recovery to Pre-COVID,1.5442427909415728,0.10933332951196117,0.07755689096406333,1.4097177975148816,-0.07930558057946635,0.03322050544714535
COVID Shock,0.11304558126558772,0.11304558126558772,0.10165107220923647,1.1120943321964871,-0.07307419119964242,0.022423959246153247
Rate Hike Regime,0.1339110770731995,0.04278073539339533,0.12208963028550048,0.3504043324019798,-0.18839699175777957,0.051678096563743246
