Date,Turnover,SPY,TLT
2011-01-31,0.0,0.7000000000000002,0.2999999999999998
2011-02-28,0.522567782494697,0.45000000000000007,0.5499999999999999
2011-03-31,0.10880901322502096,0.40000000000000013,0.5999999999999999
2011-04-29,0.09991670645545248,0.3500000000000001,0.6499999999999999
2011-05-31,0.19752807775913445,0.45000000000000007,0.5499999999999999
2011-06-30,0.17781161665184186,0.3500000000000001,0.6499999999999999
2011-07-29,0.2029565991042313,0.25000000000000006,0.75
2011-08-31,0.22339901984159516,0.3500000000000001,0.6499999999999999
2011-09-30,0.233881549829053,0.20000000000000004,0.7999999999999999
2011-10-31,0.15905507966082985,0.25000000000000006,0.75
2011-11-30,0.044630745447539644,0.30000000000000004,0.7
2011-12-30,0.29006525801273364,0.15000000000000002,0.85
2012-01-31,0.305936993313672,0.30000000000000004,0.7
2012-02-29,0.5793765838566709,0.6000000000000002,0.3999999999999998
2012-03-30,0.06721296572356139,0.6500000000000001,0.34999999999999987
2012-04-30,0.03370378304565458,0.6500000000000001,0.34999999999999987
2012-05-31,0.2752775570744826,0.5000000000000001,0.4999999999999999
2012-06-29,0.174036763851261,0.5500000000000002,0.44999999999999984
2012-07-31,0.32798166680365926,0.40000000000000013,0.5999999999999999
2012-08-31,0.11230513076966642,0.45000000000000007,0.5499999999999999
2012-09-28,0.28114618748962134,0.6000000000000002,0.3999999999999998
2012-10-31,0.1242032218421305,0.5500000000000002,0.44999999999999984
2012-11-30,0.006693958146342105,0.5500000000000002,0.44999999999999984
2012-12-31,0.1970876224795039,0.45000000000000007,0.5499999999999999
2013-01-31,0.08309985203983422,0.5000000000000001,0.4999999999999999
2013-02-28,0.15887586412748478,0.6000000000000002,0.3999999999999998
2013-03-28,0.300176018729272,0.45000000000000007,0.5499999999999999
2013-04-30,0.17943188081425882,0.5500000000000002,0.44999999999999984
2013-05-31,0.18673922223561218,0.45000000000000007,0.5499999999999999
2013-06-28,0.15361420841957446,0.5500000000000002,0.44999999999999984
2013-07-31,0.009803840780208795,0.5500000000000002,0.44999999999999984
2013-08-30,0.16390240232355507,0.6500000000000001,0.34999999999999987
2013-09-30,0.09226537124172784,0.6000000000000002,0.3999999999999998
2013-10-31,0.011806811326678435,0.6000000000000002,0.3999999999999998
2013-11-29,0.01486303090010438,0.6000000000000002,0.3999999999999998
2013-12-31,0.07298645093221989,0.6500000000000001,0.34999999999999987
