Date,SPY,TLT,ForecastVolSPY,ForecastVolTLT,EstimatedCVaR,ExpectedMonthlyReturn,Score
2011-01-31,0.67,0.32999999999999996,0.02622855277371128,0.052370198897503835,0.05234499921068571,0.01823077093721155,-0.07620022764202272
2011-02-28,0.45000000000000007,0.5499999999999999,0.03872493525362322,0.04376088277734739,0.05914173083570035,0.006070856958080973,-0.10104425854617965
2011-03-31,0.41000000000000003,0.59,0.03994125265492235,0.037396008302232414,0.055002217822683164,0.006094636396539677,-0.09302935568429002
2011-04-29,0.37,0.63,0.04032857905594135,0.036191305003100416,0.053503525934280385,0.0008324624318543153,-0.09559388424985037
2011-05-31,0.43000000000000005,0.57,0.032948333758740275,0.03623566727793104,0.049646200010673415,0.0076842328210346665,-0.08185892719817747
2011-06-30,0.33,0.6699999999999999,0.037487976306902274,0.03341446637307527,0.0489348960755709,0.008545083765333842,-0.07983772917069377
2011-07-29,0.26,0.74,0.04675436566200938,0.03941424416738174,0.05818122671467761,0.005367076146378899,-0.09956913194004081
2011-08-31,0.33,0.6699999999999999,0.046696330411392796,0.05212686425624321,0.07094956980883418,0.009276230816376031,-0.1186429948395255
2011-09-30,0.2,0.8,0.09454542233957815,0.07783988548074429,0.10997365063975172,0.01771054923075936,-0.18063202192079375
2011-10-31,0.24000000000000002,0.76,0.09393734567188942,0.08268901396980648,0.11112821611634256,0.024766420461683106,-0.17538436854773354
2011-11-30,0.30000000000000004,0.7,0.09008740229907525,0.09781748079365477,0.12199574510294857,0.01973227218679824,-0.2000400689985092
2011-12-30,0.18,0.8200000000000001,0.10964628483641277,0.05870054704529032,0.10033205388767424,0.02562107013512554,-0.1553366268626881
2012-01-31,0.29000000000000004,0.71,0.054798862633706306,0.05236163795039724,0.06744776462340688,0.026354917435752637,-0.09538105888637974
2012-02-29,0.63,0.37,0.03055769885782236,0.04630733720658677,0.02774790117149582,0.015281139338541102,-0.03568508277015137
2012-03-30,0.63,0.37,0.02821192990710619,0.04013526856960709,0.015444261690649764,0.018070874180708196,-0.009728796862461381
2012-04-30,0.65,0.35,0.03292554093121137,0.05055936074434595,0.019623063217062284,0.017472135673101952,-0.01790937811761016
2012-05-31,0.51,0.49,0.03796735508378439,0.036648543391664894,0.018644307606267285,0.013784916102611556,-0.020194837588669558
2012-06-29,0.56,0.43999999999999995,0.04182159184854359,0.0495088535476803,0.021942999871234742,0.014207998399490824,-0.025439401368731716
2012-07-31,0.4,0.6,0.07171569946095388,0.04699359627363717,0.027729787755440712,0.012576342444345478,-0.0378172755154478
2012-08-31,0.47,0.53,0.046444882035814324,0.041145442511663896,0.021775954124968192,0.013394237463013148,-0.026012479961929597
2012-09-28,0.59,0.41000000000000003,0.02964976132243671,0.043666179510134684,0.017565231125684262,0.012388981329009,-0.01958843469722267
2012-10-31,0.54,0.45999999999999996,0.034612266761420984,0.04087733352792613,0.01842802041476348,0.012378504319392065,-0.0209419324271822
2012-11-30,0.56,0.43999999999999995,0.03439262442144463,0.044059707767101136,0.018508007721993416,0.0075268333536462105,-0.02584758054594194
2012-12-31,0.47,0.53,0.03702351984719599,0.03282055020522533,0.01636713470181126,0.007257219665613606,-0.022473622797646663
2013-01-31,0.49,0.51,0.048632937267068174,0.04902769754822366,0.022548955802591603,0.004989043996996976,-0.03565907644766791
2013-02-28,0.5700000000000001,0.42999999999999994,0.027634206466130337,0.035733722573233484,0.013125260784804482,0.0037442424763556303,-0.02012122693629244
2013-03-28,0.47,0.53,0.042065353721650114,0.03794802792941713,0.016839978864664627,0.0036651641183346154,-0.026946797838061715
2013-04-30,0.53,0.47,0.0304922290628569,0.035711262899047164,0.013933969562707487,0.006076767746273371,-0.019184377466600108
2013-05-31,0.47,0.53,0.03614129835705358,0.03426829284480961,0.015274216558751389,0.011626490151527958,-0.016047099654224545
2013-06-28,0.53,0.47,0.04247982914846198,0.04667031965665237,0.019115585567067488,0.007845122997493285,-0.026742931023228195
2013-07-31,0.54,0.45999999999999996,0.045125478493563013,0.045939661993273255,0.02856574559187826,0.005133894708886985,-0.04631444735649389
2013-08-30,0.66,0.33999999999999997,0.025322932082634204,0.041063710224831684,0.01999919843487412,0.009394054051138596,-0.02696450313163482
2013-09-30,0.59,0.41000000000000003,0.03440627285871156,0.04099820415973618,0.02684507040772556,0.001613148685982565,-0.04691797804792345
2013-10-31,0.59,0.41000000000000003,0.0307836127250378,0.03644362849611401,0.024643397849741587,0.002366950992276945,-0.04199116513725791
2013-11-29,0.5700000000000001,0.42999999999999994,0.029423007551272258,0.031218361080527807,0.022765649034731376,0.003372281792479636,-0.03766588647003684
2013-12-31,0.65,0.35,0.02536049226867815,0.03668816331892474,0.022263783717061406,0.007700731021580597,-0.03261407966912993
