Date,Turnover,SPY,TLT,GLD
2011-01-31,0.0,0.5000000000000001,0.25,0.2499999999999999
2011-02-28,0.6095192017072192,0.25000000000000006,0.55,0.19999999999999996
2011-03-31,0.18825872863677554,0.25000000000000006,0.45,0.3
2011-04-29,0.10417583127556623,0.20000000000000004,0.5,0.29999999999999993
2011-05-31,0.22592589859693069,0.25000000000000006,0.55,0.19999999999999996
2011-06-30,0.08831883057390122,0.20000000000000004,0.6000000000000001,0.19999999999999984
2011-07-29,0.2021713513688408,0.1,0.6000000000000001,0.29999999999999993
2011-08-31,0.2936049201690016,0.1,0.45,0.45
2011-09-30,0.4242905395453076,0.1,0.65,0.25
2011-10-31,0.2999439594178653,0.15000000000000002,0.55,0.29999999999999993
2011-11-30,0.4443797565084355,0.20000000000000004,0.30000000000000004,0.4999999999999999
2011-12-30,0.2962110641639897,0.1,0.45,0.45
2012-01-31,0.230132570613795,0.20000000000000004,0.5,0.29999999999999993
2012-02-29,0.4982482546901161,0.45000000000000007,0.4,0.1499999999999999
2012-03-30,0.3653251872141986,0.6500000000000001,0.35000000000000003,0.0
2012-04-30,0.1999999999999995,0.6000000000000002,0.30000000000000004,0.09999999999999976
2012-05-31,0.2774374083769925,0.5000000000000001,0.45,0.04999999999999988
2012-06-29,0.16697616499064402,0.5500000000000002,0.45,0.0
2012-07-31,0.3279816668036591,0.40000000000000013,0.55,0.04999999999999982
2012-08-31,0.11289313017862987,0.45000000000000007,0.5,0.04999999999999993
2012-09-28,0.28400110624346686,0.6000000000000002,0.4,0.0
2012-10-31,0.22420322184213032,0.5000000000000001,0.4,0.09999999999999987
2012-11-30,0.19686447918925848,0.5500000000000002,0.45,0.0
2012-12-31,0.19708762247950373,0.45000000000000007,0.5,0.04999999999999993
2013-01-31,0.20147806550206404,0.45000000000000007,0.4,0.1499999999999999
2013-02-28,0.1628644455742848,0.5500000000000002,0.35000000000000003,0.09999999999999981
2013-03-28,0.2957417704450358,0.45000000000000007,0.5,0.04999999999999993
2013-04-30,0.08064112985100884,0.5000000000000001,0.45,0.04999999999999988
2013-05-31,0.09250659787936175,0.45000000000000007,0.5,0.04999999999999993
2013-06-28,0.15388742698202598,0.5500000000000002,0.45,0.0
2013-07-31,0.009803840780208906,0.5500000000000002,0.45,0.0
2013-08-30,0.16390240232355507,0.6500000000000001,0.35000000000000003,0.0
2013-09-30,0.09999999999999953,0.6000000000000002,0.35000000000000003,0.04999999999999977
2013-10-31,0.015039252833796826,0.6000000000000002,0.35000000000000003,0.04999999999999977
2013-11-29,0.015906397351780843,0.6000000000000002,0.35000000000000003,0.04999999999999977
2013-12-31,0.07730747120726034,0.6500000000000001,0.30000000000000004,0.04999999999999982
2014-01-31,0.12135515927125111,0.6000000000000002,0.35000000000000003,0.04999999999999977
2014-02-28,0.15782495645677405,0.5000000000000001,0.45,0.04999999999999988
2014-03-31,0.08320961486996598,0.5500000000000002,0.4,0.04999999999999982
2014-04-30,0.0037121848343608307,0.5500000000000002,0.4,0.04999999999999982
2014-05-30,0.006717128607632503,0.5500000000000002,0.4,0.04999999999999982
2014-06-30,0.0052340734193142,0.5500000000000002,0.4,0.04999999999999982
2014-07-31,0.0922552404712557,0.6000000000000002,0.35000000000000003,0.04999999999999977
2014-08-29,0.3928855868440757,0.40000000000000013,0.55,0.04999999999999982
2014-09-30,0.5055751127654583,0.6500000000000001,0.30000000000000004,0.04999999999999982
2014-10-31,0.10608732472550902,0.6000000000000002,0.35000000000000003,0.04999999999999977
2014-11-28,0.29608571037935255,0.5000000000000001,0.5,0.0
2014-12-31,0.30107032302888775,0.6500000000000001,0.35000000000000003,0.0
2015-01-30,0.1842055932203544,0.5500000000000002,0.45,0.0
2015-02-27,0.03846136951171625,0.5000000000000001,0.5,0.0
2015-03-31,0.4410534796538308,0.7000000000000002,0.25,0.04999999999999982
2015-04-30,0.1910033051155478,0.6000000000000002,0.35000000000000003,0.04999999999999977
2015-05-29,0.019778436090214922,0.6000000000000002,0.35000000000000003,0.04999999999999977
2015-06-30,0.18360637739527325,0.6500000000000001,0.25,0.09999999999999987
2015-07-31,0.10611544523312864,0.6000000000000002,0.25,0.1499999999999998
2015-08-31,0.19101214909264352,0.7000000000000002,0.25,0.04999999999999982
2015-09-30,0.5730738190984386,0.40000000000000013,0.4,0.19999999999999984
2015-10-30,0.20485690279329047,0.30000000000000004,0.4,0.29999999999999993
2015-11-30,0.36837598034003194,0.5000000000000001,0.25,0.2499999999999999
2015-12-31,0.29565258391808796,0.5000000000000001,0.4,0.09999999999999987
2016-01-29,0.19883443309557927,0.40000000000000013,0.4,0.19999999999999984
2016-02-29,0.25026762802329583,0.25000000000000006,0.45,0.3
2016-03-31,0.4225986743237316,0.45000000000000007,0.4,0.1499999999999999
2016-04-29,0.2661971729834277,0.6000000000000002,0.30000000000000004,0.09999999999999976
2016-05-31,0.19842094999523116,0.5000000000000001,0.35000000000000003,0.14999999999999986
2016-06-30,0.11900980715695403,0.5000000000000001,0.30000000000000004,0.19999999999999984
2016-07-29,0.3644357679157151,0.30000000000000004,0.4,0.29999999999999993
2016-08-31,0.593465547372702,0.6000000000000002,0.2,0.1999999999999998
2016-09-30,0.11090739310151226,0.5500000000000002,0.2,0.24999999999999983
2016-10-31,0.3014538741198325,0.40000000000000013,0.25,0.34999999999999987
2016-11-30,0.291062784660451,0.5500000000000002,0.2,0.24999999999999983
2016-12-30,0.17351634068554855,0.6000000000000002,0.1,0.2999999999999998
2017-01-31,0.11707782253288328,0.5500000000000002,0.15000000000000002,0.2999999999999998
2017-02-28,0.11009331836848413,0.6000000000000002,0.1,0.2999999999999998
2017-03-31,0.0053089968695200496,0.6000000000000002,0.1,0.2999999999999998
2017-04-28,0.102929404976666,0.5500000000000002,0.15000000000000002,0.2999999999999998
2017-05-31,0.10080929662313004,0.5500000000000002,0.1,0.34999999999999987
2017-06-30,0.09808492880547734,0.5500000000000002,0.15000000000000002,0.2999999999999998
2017-07-31,0.2089782896969623,0.45000000000000007,0.2,0.3499999999999999
2017-08-31,0.1959915219270139,0.5500000000000002,0.1,0.34999999999999987
2017-09-29,0.2971800188364464,0.45000000000000007,0.25,0.29999999999999993
2017-10-31,0.19175380354677934,0.5500000000000002,0.15000000000000002,0.2999999999999998
2017-11-30,0.11404819987309561,0.5000000000000001,0.15000000000000002,0.34999999999999987
2017-12-29,0.21269685905932587,0.40000000000000013,0.25,0.34999999999999987
2018-01-31,0.2036386855651488,0.5000000000000001,0.15000000000000002,0.34999999999999987
2018-02-28,0.1210131218065606,0.45000000000000007,0.15000000000000002,0.3999999999999999
2018-03-29,0.29338785644117793,0.30000000000000004,0.15000000000000002,0.5499999999999999
2018-04-30,0.09127969494650792,0.25000000000000006,0.2,0.55
2018-05-31,0.2932957554330483,0.40000000000000013,0.15000000000000002,0.44999999999999984
2018-06-29,0.11725013035422596,0.3500000000000001,0.15000000000000002,0.4999999999999999
2018-07-31,0.20656440848683816,0.45000000000000007,0.05,0.49999999999999994
2018-08-31,0.10190213215118499,0.45000000000000007,0.1,0.44999999999999996
2018-09-28,0.37545653412456836,0.5500000000000002,0.2,0.24999999999999983
2018-10-31,0.09014654563906307,0.6000000000000002,0.15000000000000002,0.24999999999999978
2018-11-30,0.6678171754248903,0.25000000000000006,0.15000000000000002,0.6
2018-12-31,0.20253286383384655,0.30000000000000004,0.05,0.6499999999999999
2019-01-31,0.14743364174320517,0.20000000000000004,0.05,0.7499999999999999
2019-02-28,0.28373031666309184,0.3500000000000001,0.0,0.6499999999999999
2019-03-29,0.2826073777712024,0.5000000000000001,0.0,0.4999999999999999
2019-04-30,0.21701667711766273,0.40000000000000013,0.1,0.4999999999999999
2019-05-31,0.27640269387017286,0.5500000000000002,0.05,0.39999999999999986
2019-06-28,0.4653883256022135,0.30000000000000004,0.05,0.6499999999999999
2019-07-31,0.40806515882475214,0.5000000000000001,0.05,0.4499999999999999
2019-08-30,0.2073409123067395,0.40000000000000013,0.1,0.4999999999999999
2019-09-30,0.04648388229248836,0.40000000000000013,0.1,0.4999999999999999
2019-10-31,0.27463620937500977,0.5500000000000002,0.05,0.39999999999999986
2019-11-29,0.0032281768517341894,0.5500000000000002,0.05,0.39999999999999986
2019-12-31,0.13203969876939778,0.5000000000000001,0.05,0.4499999999999999
2020-01-31,0.006276205991847486,0.5000000000000001,0.05,0.4499999999999999
2020-02-28,0.5762710205044425,0.20000000000000004,0.15000000000000002,0.6499999999999999
2020-03-31,0.6768799539715851,0.1,0.5,0.4
2020-04-30,0.08371691141553388,0.1,0.55,0.35
2020-05-29,0.11862180831811141,0.15000000000000002,0.55,0.29999999999999993
2020-06-30,0.08766799146082285,0.15000000000000002,0.5,0.35
2020-07-31,0.19071324052407662,0.1,0.45,0.45
2020-08-31,0.32806207504646423,0.15000000000000002,0.55,0.29999999999999993
2020-09-30,0.47309272481145465,0.40000000000000013,0.4,0.19999999999999984
2020-10-30,0.38594231127259837,0.20000000000000004,0.45,0.3499999999999999
2020-11-30,0.38794363567427925,0.1,0.35000000000000003,0.55
2020-12-31,0.6542592234171822,0.30000000000000004,0.5,0.19999999999999996
2021-01-29,0.07992767403819667,0.30000000000000004,0.45,0.24999999999999994
2021-02-26,0.41065699465485844,0.1,0.55,0.35
2021-03-31,0.6834718375392462,0.45000000000000007,0.30000000000000004,0.2499999999999999
2021-04-30,0.49337780624497235,0.5000000000000001,0.5,0.0
2021-05-28,0.21345574397783645,0.40000000000000013,0.5,0.09999999999999987
2021-06-30,0.18981125135621726,0.45000000000000007,0.4,0.1499999999999999
2021-07-30,0.2952389104851615,0.6000000000000002,0.4,0.0
2021-08-31,0.19405341064269788,0.5000000000000001,0.5,0.0
2021-09-30,0.016365260862774955,0.5000000000000001,0.5,0.0
