Date,Turnover,SPY,TLT
2011-01-31,0.0,0.67,0.32999999999999996
2011-02-28,0.4637986116312792,0.45000000000000007,0.5499999999999999
2011-03-31,0.08880926548472501,0.41000000000000003,0.59
2011-04-29,0.07991586777967641,0.37,0.63
2011-05-31,0.11746722182860586,0.43000000000000005,0.57
2011-06-30,0.17804609156935308,0.33,0.6699999999999999
2011-07-29,0.14287388088280228,0.26,0.74
2011-08-31,0.1640253248364872,0.33,0.6699999999999999
2011-09-30,0.19592766863731526,0.2,0.8
2011-10-31,0.13905493969715882,0.24000000000000002,0.76
2011-11-30,0.06605751595080211,0.30000000000000004,0.7
2011-12-30,0.23006519221937038,0.18,0.8200000000000001
2012-01-31,0.22687743996838328,0.29000000000000004,0.71
2012-02-29,0.6597691736135829,0.63,0.37
2012-03-30,0.03177935494688083,0.63,0.37
2012-04-30,0.005416247572466115,0.65,0.35
2012-05-31,0.2552782100264108,0.51,0.49
2012-06-29,0.17411723861483153,0.56,0.43999999999999995
2012-07-31,0.3478417280726206,0.4,0.6
2012-08-31,0.1523049801584685,0.47,0.53
2012-09-28,0.22103829786851853,0.59,0.41000000000000003
2012-10-31,0.12440627086735695,0.54,0.45999999999999996
2012-11-30,0.046716953700914166,0.56,0.43999999999999995
2012-12-31,0.17710035867429536,0.47,0.53
2013-01-31,0.023002454271068673,0.49,0.51
2013-02-28,0.11885834103899079,0.5700000000000001,0.42999999999999994
2013-03-28,0.2001799211154433,0.47,0.53
2013-04-30,0.09931607549650673,0.53,0.47
2013-05-31,0.1066611600190207,0.47,0.53
2013-06-28,0.0734020834848586,0.53,0.47
2013-07-31,0.01012893776399898,0.54,0.45999999999999996
2013-08-30,0.20374456101612765,0.66,0.33999999999999997
2013-09-30,0.1323687367173027,0.59,0.41000000000000003
2013-10-31,0.011903515695143252,0.59,0.41000000000000003
2013-11-29,0.054985704694628434,0.5700000000000001,0.42999999999999994
2013-12-31,0.13236620296684481,0.65,0.35
2014-01-31,0.10009657729536942,0.61,0.39
2014-02-28,0.21338385009402233,0.48,0.52
2014-03-31,0.1603766376249624,0.5700000000000001,0.42999999999999994
2014-04-30,0.04047339680080503,0.55,0.44999999999999996
2014-05-30,0.013160545730762807,0.54,0.45999999999999996
2014-06-30,0.06304505299667995,0.5700000000000001,0.42999999999999994
2014-07-31,0.048767987588758055,0.6,0.4
2014-08-29,0.3703095004570541,0.41000000000000003,0.59
2014-09-30,0.523602187352658,0.67,0.32999999999999996
2014-10-31,0.12329330116261689,0.61,0.39
2014-11-28,0.19784940236773868,0.51,0.49
2014-12-31,0.34106971116933327,0.6799999999999999,0.32000000000000006
2015-01-30,0.2448770107168457,0.55,0.44999999999999996
2015-02-27,0.021539159050764922,0.53,0.47
2015-03-31,0.3414722574510988,0.73,0.27
2015-04-30,0.24941296488603737,0.6,0.4
2015-05-29,0.021327652057232915,0.6,0.4
2015-06-30,0.20240985879036733,0.71,0.29000000000000004
2015-07-31,0.028630244304880037,0.7,0.30000000000000004
2015-08-31,0.0893310394982959,0.74,0.26
2015-09-30,0.5181762062597385,0.47,0.53
2015-10-30,0.19745381519015442,0.36,0.64
2015-11-30,0.36003981660786216,0.56,0.43999999999999995
2015-12-31,0.0660878938357124,0.53,0.47
2016-01-29,0.17279425364385143,0.44000000000000006,0.5599999999999999
2016-02-29,0.3484803968406067,0.24000000000000002,0.76
2016-03-31,0.4112962295852407,0.44000000000000006,0.5599999999999999
2016-04-29,0.2873409634340139,0.6,0.4
2016-05-31,0.12543028149533053,0.54,0.45999999999999996
2016-06-30,0.004393134988608549,0.54,0.45999999999999996
2016-07-29,0.42834714985756245,0.31,0.69
2016-08-31,0.6935584383541353,0.66,0.33999999999999997
2016-09-30,0.06509914932220978,0.63,0.37
2016-10-31,0.2670991351821644,0.5,0.5
2016-11-30,0.18634832689424669,0.6,0.4
2016-12-30,0.062270684143613364,0.66,0.33999999999999997
2017-01-31,0.11104360925477919,0.61,0.39
2017-02-28,0.004575734617889793,0.61,0.39
2017-03-31,0.009171094456639606,0.62,0.38
2017-04-28,0.02368199601602372,0.61,0.39
2017-05-31,0.03727092696804507,0.59,0.41000000000000003
2017-06-30,0.0022691644736795857,0.59,0.41000000000000003
2017-07-31,0.11925831899949502,0.53,0.47
2017-08-31,0.14658485972846552,0.61,0.39
2017-09-29,0.26538987519481055,0.47,0.53
2017-10-31,0.1783272561993426,0.5700000000000001,0.42999999999999994
2017-11-30,0.1315863632719802,0.51,0.49
2017-12-29,0.17134442314222859,0.43000000000000005,0.57
2018-01-31,0.26289546773053335,0.56,0.43999999999999995
2018-02-28,0.16307501676747427,0.5,0.5
2018-03-29,0.2769239783194102,0.36,0.64
2018-04-30,0.1544076404752509,0.27,0.73
2018-05-31,0.2895868063642952,0.42000000000000004,0.58
2018-06-29,0.0020331965062198587,0.42000000000000004,0.58
2018-07-31,0.1803423307262748,0.51,0.49
2018-08-31,0.025396725153488453,0.51,0.49
2018-09-28,0.010812743121600188,0.52,0.48
2018-10-31,0.16254763479431017,0.61,0.39
2018-11-30,0.7399919064473295,0.23,0.77
2018-12-31,0.07976450678477573,0.27,0.73
2019-01-31,0.18329178565952803,0.15000000000000002,0.85
2019-02-28,0.2608404185959372,0.29000000000000004,0.71
2019-03-29,0.6209761017598572,0.61,0.39
2019-04-30,0.322670284034097,0.44000000000000006,0.5599999999999999
2019-05-31,0.3502588843897102,0.63,0.37
2019-06-28,0.4974555262782146,0.35,0.65
2019-07-31,0.313471199074533,0.52,0.48
2019-08-30,0.2262102844648038,0.41000000000000003,0.59
2019-09-30,0.061836620288614585,0.35,0.65
2019-10-31,0.4787278570850381,0.6,0.4
2019-11-29,0.024185420157853965,0.62,0.38
2019-12-31,0.021413477848170603,0.64,0.36
2020-01-31,0.11207480712242313,0.71,0.29000000000000004
2020-02-28,1.128847259814039,0.13,0.87
2020-03-31,0.028591083977468762,0.1,0.9
2020-04-30,0.09249569796330714,0.13,0.87
2020-05-29,0.054718997675504366,0.17,0.83
2020-06-30,0.08146126492083772,0.22,0.78
2020-07-31,0.2048990039617895,0.12000000000000001,0.88
2020-08-31,0.09706427396896482,0.17,0.83
2020-09-30,0.6450118091886805,0.51,0.49
2020-10-30,0.3970692099126552,0.30000000000000004,0.7
2020-11-30,0.20386655286332656,0.2,0.8
2020-12-31,0.311515021255459,0.37,0.63
2021-01-29,0.02285882359618613,0.37,0.63
2021-02-26,0.41251906224291646,0.17,0.83
2021-03-31,0.8148991569013864,0.59,0.41000000000000003
