,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Monthly CVaR 95%
DRL PPO (Test),1.4702943364509973,0.25368138004045804,0.15302692817277017,1.6577564685481183,-0.18958575409108236,0.07847981801731134
Original Dynamic SPY/TLT (Test),0.06441015503956504,0.015727597158736506,0.1390131416305857,0.11313748451589642,-0.28271673732476044,0.07645702201664821
Enhanced Dynamic SPY/TLT/GLD (Test),0.19181174437890225,0.04484511163541116,0.11611038543940419,0.38622825568704167,-0.22053803268366223,0.05147215349572847
Static 60/40 (Test),0.13139490964453238,0.03134402079194665,0.1448689062064692,0.21636127180579875,-0.26225124577348347,0.0796946414042949
Equal Weight 1/3 (Test),0.138702311045241,0.033005301842053525,0.11975538129408334,0.2756060018798019,-0.21238323601971054,0.06456546694801683
Buy and Hold SPY (Test),0.65978214580412,0.13504419564798065,0.16102140491244613,0.8386723226108334,-0.23927178782308045,0.08755846551621697
