Date,GLD,IEF,SHY,SPY,TLT
2008-01-02,84.86000061035156,56.139747619628906,61.54307174682617,103.49559020996094,54.21393585205078
2008-01-03,85.56999969482422,56.255088806152344,61.64023971557617,103.44564819335938,54.1392707824707
2008-01-04,85.12999725341797,56.40241241455078,61.72990798950195,100.91055297851562,54.15071487426758
2008-01-07,84.7699966430664,56.5048942565918,61.69260787963867,100.82487487792969,54.38627243041992
2008-01-08,86.77999877929688,56.62664031982422,61.7822380065918,99.19670867919922,54.32307815551758
2008-01-09,86.55000305175781,56.53694534301758,61.752376556396484,100.2392578125,54.426429748535156
2008-01-10,88.25,56.38314437866211,61.752376556396484,100.89623260498047,53.69118881225586
2008-01-11,88.58000183105469,56.74193572998047,61.924278259277344,100.08216094970703,54.11054229736328
2008-01-14,89.54000091552734,56.7675666809082,61.94670104980469,100.88912963867188,54.311580657958984
2008-01-15,87.98999786376953,57.139129638671875,61.998992919921875,98.66825866699219,54.92048263549805
2008-01-16,86.69999694824219,57.03022384643555,62.0513916015625,97.81846618652344,54.52415466308594
2008-01-17,86.5,57.49151611328125,62.15597915649414,95.28335571289062,55.230613708496094
2008-01-18,87.41999816894531,57.408203125,62.20828628540039,94.30504608154297,54.85153579711914
2008-01-22,88.16999816894531,58.04886245727539,62.46991729736328,93.34814453125,55.437469482421875
2008-01-23,87.88999938964844,57.779808044433594,62.439998626708984,95.59043884277344,55.31105422973633
2008-01-24,90.08000183105469,57.25445556640625,62.24567413330078,96.39737701416016,54.20246887207031
2008-01-25,90.30000305175781,57.78618240356445,62.41011047363281,95.00491333007812,55.11579132080078
2008-01-28,91.75,57.57478713989258,62.38017654418945,96.57591247558594,54.90898895263672
2008-01-29,91.1500015258789,57.344139099121094,62.34281921386719,97.05435180664062,54.5356330871582
2008-01-30,92.05999755859375,57.31850051879883,62.38766098022461,96.34022521972656,54.179466247558594
2008-01-31,91.4000015258789,57.61321258544922,62.44750213623047,98.09696197509766,54.564327239990234
2008-02-01,89.3499984741211,57.80026626586914,62.515663146972656,99.6751480102539,54.892311096191406
2008-02-04,89.0999984741211,57.4788932800293,62.52318572998047,98.4183349609375,54.32743835449219
2008-02-05,87.68000030517578,57.88372802734375,62.66559982299805,95.78327178955078,54.74242401123047
2008-02-06,88.94999694824219,57.78093338012695,62.688045501708984,95.01203155517578,54.57525634765625
2008-02-07,89.8499984741211,57.13185119628906,62.60560989379883,95.64046478271484,53.39942169189453
2008-02-08,91.0,57.61384582519531,62.71805953979492,95.02629089355469,54.0103874206543
2008-02-11,91.33000183105469,57.74237823486328,62.740509033203125,95.51192474365234,54.23518371582031
2008-02-12,89.33000183105469,57.620277404785156,62.762977600097656,96.39737701416016,53.91238021850586
2008-02-13,89.44000244140625,57.376068115234375,62.78544998168945,97.3828353881836,53.34177017211914
2008-02-14,89.70999908447266,57.0611572265625,62.740509033203125,96.52593994140625,52.55777359008789
2008-02-15,89.1500015258789,57.18327713012695,62.67306137084961,96.50450897216797,52.9612922668457
2008-02-19,91.58000183105469,56.77198791503906,62.62809371948242,96.77587127685547,52.42523193359375
2008-02-20,93.23999786376953,56.72059631347656,62.553157806396484,97.06150817871094,52.788387298583984
2008-02-21,93.25,57.30540084838867,62.72551345825195,96.2545394897461,53.347476959228516
2008-02-22,93.38999938964844,57.14469909667969,62.658058166503906,96.84725189208984,53.04201126098633
2008-02-25,92.73999786376953,56.76555252075195,62.56064987182617,98.0683822631836,52.50019836425781
2008-02-26,93.70999908447266,56.906986236572266,62.65059280395508,98.80394744873047,52.517459869384766
2008-02-27,94.77999877929688,57.041927337646484,62.72551345825195,98.70394897460938,52.563575744628906
2008-02-28,95.98999786376953,57.71024703979492,62.8753547668457,97.7398910522461,53.49738311767578
2008-02-29,96.18000030517578,58.32723617553711,63.092735290527344,95.56189727783203,54.31587219238281
2008-03-03,97.23999786376953,58.17893600463867,63.09497833251953,95.33338928222656,54.175880432128906
2008-03-04,95.18000030517578,57.95973587036133,63.0799560546875,94.96916198730469,53.64940643310547
2008-03-05,97.72000122070312,57.70835494995117,63.042381286621094,95.56902313232422,53.007205963134766
2008-03-06,96.5,58.17250061035156,63.23013687133789,93.5909194946289,53.29064178466797
2008-03-07,96.08999633789062,58.372352600097656,63.20005798339844,92.62693786621094,53.36012268066406
2008-03-10,95.87000274658203,58.79132080078125,63.2677001953125,91.40577697753906,54.146934509277344
2008-03-11,95.98999786376953,58.15314865112305,62.95232391357422,94.6906509399414,53.684139251708984
2008-03-12,97.01000213623047,58.823585510253906,63.155033111572266,93.80518341064453,54.71975326538086
2008-03-13,98.33999633789062,58.51417541503906,63.124977111816406,94.01226806640625,54.291568756103516
2008-03-14,98.70999908447266,59.12009811401367,63.31277084350586,92.55548095703125,54.96272659301758
2008-03-17,99.16999816894531,59.41665267944336,63.45538330078125,91.62001037597656,55.385009765625
2008-03-18,96.5,59.010536193847656,63.23013687133789,95.42620086669922,55.17097091674805
2008-03-19,93.04000091552734,59.51978302001953,63.29769515991211,93.06250762939453,56.08511734008789
2008-03-20,89.91000366210938,59.6486930847168,63.22259521484375,94.78626251220703,56.223995208740234
2008-03-24,90.0999984741211,58.597984313964844,62.95980453491211,96.68086242675781,55.13629913330078
2008-03-25,92.7300033569336,58.80421829223633,63.0048828125,96.77416229248047,55.367713928222656
2008-03-26,93.80000305175781,58.849342346191406,63.14004135131836,95.59000396728516,55.13629913330078
2008-03-27,93.45999908447266,58.77198028564453,63.20758056640625,95.28861236572266,54.7486572265625
2008-03-28,91.87999725341797,59.00403594970703,63.23764419555664,94.37720489501953,55.28095245361328
2008-03-31,90.41000366210938,59.10721206665039,63.252601623535156,94.70735168457031,55.4776496887207
2008-04-01,86.86000061035156,58.59035873413086,63.023868560791016,98.03721618652344,54.5747184753418
2008-04-02,89.2699966430664,58.39635467529297,62.971256256103516,98.1017837524414,54.690895080566406
2008-04-03,89.41999816894531,58.39635467529297,62.92611312866211,98.34577178955078,54.81293869018555
2008-04-04,90.25,58.84263229370117,63.03892135620117,98.2381362915039,55.31258773803711
2008-04-07,91.16999816894531,58.45454406738281,62.918582916259766,98.28836822509766,55.022151947021484
2008-04-08,90.3499984741211,58.4610595703125,62.95621871948242,98.18790435791016,54.83034896850586
2008-04-09,92.29000091552734,58.810298919677734,63.07657241821289,97.47747039794922,55.39977264404297
2008-04-10,91.7699966430664,58.577430725097656,63.0539665222168,97.61380767822266,55.21385192871094
2008-04-11,91.30000305175781,58.82975387573242,63.15935516357422,95.71922302246094,55.58567810058594
2008-04-14,91.11000061035156,58.680973052978516,63.1217155456543,95.39629364013672,55.26026916503906
2008-04-15,91.66000366210938,58.415802001953125,63.03892135620117,95.61874389648438,54.5747184753418
2008-04-16,93.2699966430664,58.02119445800781,62.90351104736328,98.20945739746094,54.04018783569336
2008-04-17,92.55999755859375,57.88538360595703,62.790645599365234,98.35295867919922,53.94721221923828
2008-04-18,90.62000274658203,57.827117919921875,62.75305938720703,99.37922668457031,53.90074157714844
2008-04-21,90.25,57.83363723754883,62.6928825378418,99.42942810058594,54.11568832397461
2008-04-22,90.2699966430664,57.87884521484375,62.71540451049805,98.99166107177734,54.30166244506836
2008-04-23,89.22000122070312,57.82061767578125,62.71540451049805,98.83379364013672,54.121524810791016
2008-04-24,87.22000122070312,57.36783218383789,62.54237365722656,99.26437377929688,53.66256332397461
2008-04-25,87.2699966430664,57.290225982666016,62.54987335205078,100.18295288085938,53.34882736206055
2008-04-28,87.69000244140625,57.393760681152344,62.61757278442383,100.20450592041016,53.51148986816406
2008-04-29,85.80999755859375,57.497222900390625,62.60253143310547,99.80977630615234,53.71481704711914
2008-04-30,86.6500015258789,57.67837142944336,62.7228889465332,99.22132873535156,54.098304748535156
2008-05-01,83.98999786376953,57.671875,62.61135482788086,101.27374267578125,54.10178756713867
2008-05-02,84.58000183105469,57.20470428466797,62.52841567993164,101.55369567871094,53.4195442199707
2008-05-05,86.2699966430664,57.289005279541016,62.59629821777344,101.06571197509766,53.4195442199707
2008-05-06,86.62999725341797,57.10736846923828,62.634002685546875,101.94120788574219,53.0346794128418
2008-05-07,85.81999969482422,57.33445358276367,62.709354400634766,100.12552642822266,53.26212692260742
2008-05-08,87.23999786376953,57.704341888427734,62.76210021972656,99.8671875,53.74024963378906
2008-05-09,87.41999816894531,57.76917266845703,62.78472900390625,99.68061828613281,53.938575744628906
2008-05-12,86.98999786376953,57.671875,62.664119720458984,100.8001480102539,53.85690689086914
2008-05-13,85.38999938964844,57.191688537597656,62.558597564697266,100.8144760131836,53.26791000366211
2008-05-14,85.19999694824219,57.172245025634766,62.513336181640625,101.0225830078125,53.29125213623047
2008-05-15,87.0,57.490169525146484,62.566123962402344,102.28565216064453,53.77527618408203
2008-05-16,89.0999984741211,57.39286422729492,62.581207275390625,102.37898254394531,53.55366134643555
2008-05-19,89.38999938964844,57.522682189941406,62.6490364074707,102.6587905883789,53.62360382080078
2008-05-20,90.9000015258789,57.69780731201172,62.739524841308594,101.82636260986328,53.903564453125
2008-05-21,91.95999908447266,57.56157302856445,62.67166519165039,100.10401916503906,53.915225982666016
2008-05-22,90.9800033569336,57.185218811035156,62.49825668334961,100.11834716796875,53.279598236083984
2008-05-23,91.2300033569336,57.438289642333984,62.61888122558594,98.77637481689453,53.5128173828125
2008-05-27,89.36000061035156,57.15926742553711,62.55104064941406,99.50840759277344,53.15132522583008
2008-05-28,89.13999938964844,56.730987548828125,62.438011169433594,99.96768188476562,52.678993225097656
2008-05-29,86.51000213623047,56.4649658203125,62.41533660888672,100.47000122070312,52.299983978271484
2008-05-30,87.44999694824219,56.65315246582031,62.5058479309082,100.72122192382812,52.64400863647461
2008-06-02,87.95999908447266,56.98980712890625,62.62900161743164,99.68061828613281,52.847068786621094
2008-06-03,86.87999725341797,57.2893180847168,62.7197151184082,99.09930419921875,53.22749710083008
2008-06-04,86.6500015258789,57.08091735839844,62.69704818725586,99.04905700683594,52.75344467163086
2008-06-05,86.44999694824219,56.78139877319336,62.61391830444336,101.02975463867188,52.437400817871094
2008-06-06,89.05999755859375,57.276309967041016,62.69704818725586,97.80753326416016,53.11626052856445
