Date,GLD,SPY,TLT
2008-01-02,84.86000061035156,103.49560546875,54.21392822265625
2008-01-03,85.56999969482422,103.4456558227539,54.1392707824707
2008-01-04,85.12999725341797,100.91055297851562,54.15073776245117
2008-01-07,84.7699966430664,100.82488250732422,54.38629150390625
2008-01-08,86.77999877929688,99.19669342041016,54.32304763793945
2008-01-09,86.55000305175781,100.23926544189453,54.426456451416016
2008-01-10,88.25,100.89623260498047,53.691226959228516
2008-01-11,88.58000183105469,100.08216094970703,54.11048126220703
2008-01-14,89.54000091552734,100.88912200927734,54.311561584472656
2008-01-15,87.98999786376953,98.66822814941406,54.92045974731445
2008-01-16,86.69999694824219,97.81847381591797,54.52410888671875
2008-01-17,86.5,95.28337860107422,55.23065948486328
2008-01-18,87.41999816894531,94.3050308227539,54.85155487060547
2008-01-22,88.16999816894531,93.34815979003906,55.43747329711914
2008-01-23,87.88999938964844,95.59044647216797,55.311065673828125
2008-01-24,90.08000183105469,96.39739227294922,54.202449798583984
2008-01-25,90.30000305175781,95.00486755371094,55.11574935913086
2008-01-28,91.75,96.5759048461914,54.90895080566406
2008-01-29,91.1500015258789,97.05436706542969,54.535640716552734
2008-01-30,92.05999755859375,96.34025573730469,54.179473876953125
2008-01-31,91.4000015258789,98.09696197509766,54.5643424987793
2008-02-01,89.3499984741211,99.67515563964844,54.892303466796875
2008-02-04,89.0999984741211,98.41829681396484,54.327369689941406
2008-02-05,87.68000030517578,95.78324890136719,54.74241638183594
2008-02-06,88.94999694824219,95.01201629638672,54.575279235839844
2008-02-07,89.8499984741211,95.64044189453125,53.399391174316406
2008-02-08,91.0,95.02629852294922,54.010353088378906
2008-02-11,91.33000183105469,95.51187133789062,54.23518753051758
2008-02-12,89.33000183105469,96.39739227294922,53.9123420715332
2008-02-13,89.44000244140625,97.38282012939453,53.34173583984375
2008-02-14,89.70999908447266,96.52595520019531,52.557823181152344
2008-02-15,89.1500015258789,96.50453186035156,52.96131134033203
2008-02-19,91.58000183105469,96.7758560180664,52.42525100708008
2008-02-20,93.23999786376953,97.06150817871094,52.78837966918945
2008-02-21,93.25,96.25453186035156,53.347503662109375
2008-02-22,93.38999938964844,96.84727478027344,53.0419921875
2008-02-25,92.73999786376953,98.06842041015625,52.50015640258789
2008-02-26,93.70999908447266,98.80391693115234,52.517452239990234
2008-02-27,94.77999877929688,98.70394134521484,52.56357955932617
2008-02-28,95.98999786376953,97.73990631103516,53.497371673583984
2008-02-29,96.18000030517578,95.56190490722656,54.31583786010742
2008-03-03,97.23999786376953,95.3333740234375,54.17584991455078
2008-03-04,95.18000030517578,94.96916961669922,53.64939498901367
2008-03-05,97.72000122070312,95.56900787353516,53.00718688964844
2008-03-06,96.5,93.5909423828125,53.29065704345703
2008-03-07,96.08999633789062,92.62689971923828,53.36012649536133
2008-03-10,95.87000274658203,91.4057846069336,54.146907806396484
2008-03-11,95.98999786376953,94.69068145751953,53.68410873413086
2008-03-12,97.01000213623047,93.8051986694336,54.71971130371094
2008-03-13,98.33999633789062,94.01226043701172,54.29155731201172
2008-03-14,98.70999908447266,92.55550384521484,54.96272659301758
2008-03-17,99.16999816894531,91.62001037597656,55.385047912597656
2008-03-18,96.5,95.42622375488281,55.1710090637207
2008-03-19,93.04000091552734,93.0625228881836,56.085105895996094
2008-03-20,89.91000366210938,94.78628540039062,56.22396469116211
2008-03-24,90.0999984741211,96.68087005615234,55.13626480102539
2008-03-25,92.7300033569336,96.77413940429688,55.36772155761719
2008-03-26,93.80000305175781,95.59003448486328,55.13626480102539
2008-03-27,93.45999908447266,95.28862762451172,54.74864196777344
2008-03-28,91.87999725341797,94.3772201538086,55.280906677246094
2008-03-31,90.41000366210938,94.70735931396484,55.47760772705078
2008-04-01,86.86000061035156,98.03722381591797,54.574710845947266
2008-04-02,89.2699966430664,98.10176086425781,54.690921783447266
2008-04-03,89.41999816894531,98.3458023071289,54.81296157836914
2008-04-04,90.25,98.23812866210938,55.31263732910156
2008-04-07,91.16999816894531,98.28838348388672,55.0221061706543
2008-04-08,90.3499984741211,98.18788146972656,54.830360412597656
2008-04-09,92.29000091552734,97.47747039794922,55.39977264404297
2008-04-10,91.7699966430664,97.6137924194336,55.213836669921875
2008-04-11,91.30000305175781,95.71920776367188,55.585697174072266
2008-04-14,91.11000061035156,95.3962631225586,55.26032257080078
2008-04-15,91.66000366210938,95.61872863769531,54.574710845947266
2008-04-16,93.2699966430664,98.2094497680664,54.04017639160156
2008-04-17,92.55999755859375,98.35298156738281,53.947227478027344
2008-04-18,90.62000274658203,99.37918853759766,53.900760650634766
2008-04-21,90.25,99.42945098876953,54.115718841552734
2008-04-22,90.2699966430664,98.99163818359375,54.301639556884766
2008-04-23,89.22000122070312,98.83377838134766,54.121517181396484
2008-04-24,87.22000122070312,99.26437377929688,53.66256332397461
2008-04-25,87.2699966430664,100.18295288085938,53.34878158569336
2008-04-28,87.69000244140625,100.20449829101562,53.51149368286133
2008-04-29,85.80999755859375,99.80978393554688,53.71486282348633
2008-04-30,86.6500015258789,99.2213134765625,54.09830856323242
2008-05-01,83.98999786376953,101.2738037109375,54.10173034667969
2008-05-02,84.58000183105469,101.5536117553711,53.419559478759766
2008-05-05,86.2699966430664,101.06568145751953,53.419559478759766
2008-05-06,86.62999725341797,101.94117736816406,53.03468704223633
2008-05-07,85.81999969482422,100.12554168701172,53.26209259033203
2008-05-08,87.23999786376953,99.8672103881836,53.74024200439453
2008-05-09,87.41999816894531,99.6806411743164,53.938499450683594
2008-05-12,86.98999786376953,100.80014038085938,53.856903076171875
2008-05-13,85.38999938964844,100.81448364257812,53.267887115478516
2008-05-14,85.19999694824219,101.02259826660156,53.29124069213867
2008-05-15,87.0,102.28565216064453,53.775238037109375
2008-05-16,89.0999984741211,102.37890625,53.55366516113281
2008-05-19,89.38999938964844,102.65884399414062,53.62360763549805
2008-05-20,90.9000015258789,101.82637786865234,53.903568267822266
2008-05-21,91.95999908447266,100.10404205322266,53.91515350341797
2008-05-22,90.9800033569336,100.11833190917969,53.27959060668945
2008-05-23,91.2300033569336,98.7763900756836,53.5128173828125
2008-05-27,89.36000061035156,99.50839233398438,53.151302337646484
2008-05-28,89.13999938964844,99.96763610839844,52.67899703979492
2008-05-29,86.51000213623047,100.47000122070312,52.29994583129883
2008-05-30,87.44999694824219,100.72118377685547,52.64403533935547
2008-06-02,87.95999908447266,99.6806411743164,52.84708023071289
2008-06-03,86.87999725341797,99.0993423461914,53.22748947143555
2008-06-04,86.6500015258789,99.04907989501953,52.75343704223633
2008-06-05,86.44999694824219,101.0297622680664,52.43736267089844
2008-06-06,89.05999755859375,97.80757141113281,53.11627197265625
2008-06-09,87.98999786376953,98.0444107055664,53.11627197265625
2008-06-10,85.55000305175781,97.55638122558594,52.77099609375
2008-06-11,87.0199966430664,96.1211166381836,52.648128509521484
2008-06-12,85.5999984741211,96.48709869384766,52.12138366699219
2008-06-13,85.83000183105469,97.70708465576172,52.010154724121094
2008-06-16,87.01000213623047,97.76448822021484,52.02189254760742
2008-06-17,87.25,97.29085540771484,52.12722396850586
2008-06-18,88.27999877929688,96.34357452392578,52.566162109375
2008-06-19,88.41999816894531,96.465576171875,52.25598907470703
2008-06-20,88.94999694824219,94.8997802734375,52.560306549072266
2008-06-23,87.08999633789062,94.80602264404297,52.67149353027344
2008-06-24,87.47000122070312,94.61849975585938,53.022666931152344
2008-06-25,87.41999816894531,95.06562805175781,53.04609298706055
2008-06-26,90.61000061035156,92.4836654663086,53.40302658081055
2008-06-27,91.47000122070312,91.97879791259766,54.02924728393555
2008-06-30,91.4000015258789,92.30332946777344,54.04093551635742
2008-07-01,92.66000366210938,92.59183502197266,53.91292190551758
2008-07-02,93.16999816894531,91.00513458251953,54.19485092163086
2008-07-03,92.05999755859375,91.098876953125,54.077354431152344
2008-07-07,91.2300033569336,90.1684799194336,54.3240852355957
2008-07-08,90.86000061035156,91.76964569091797,54.67645263671875
2008-07-09,91.5,90.00260162353516,54.91730499267578
2008-07-10,93.52999877929688,90.37045288085938,54.911441802978516
2008-07-11,95.16000366210938,89.31743621826172,54.130252838134766
2008-07-14,95.91000366210938,88.50968170166016,54.605995178222656
2008-07-15,96.16999816894531,87.26191711425781,54.588340759277344
2008-07-16,94.44000244140625,89.40398406982422,53.60159683227539
2008-07-17,94.22000122070312,90.2983169555664,53.32553482055664
2008-07-18,94.16999816894531,90.86087036132812,53.12583923339844
2008-07-21,95.12000274658203,90.9113540649414,53.331443786621094
2008-07-22,93.05999755859375,91.94274139404297,53.06711196899414
2008-07-23,90.56999969482422,92.44036865234375,52.961402893066406
2008-07-24,91.33000183105469,90.52188110351562,53.47828674316406
2008-07-25,91.69000244140625,90.50025939941406,52.94378662109375
2008-07-28,91.7300033569336,89.17320251464844,53.47828674316406
2008-07-29,90.58999633789062,91.0772476196289,53.26096725463867
2008-07-30,89.5199966430664,92.70001220703125,53.31383514404297
2008-07-31,90.08000183105469,91.47390747070312,53.842445373535156
2008-08-01,89.56999969482422,90.99069213867188,53.96149444580078
2008-08-04,88.13999938964844,90.14683532714844,53.837703704833984
2008-08-05,86.08000183105469,92.5774154663086,53.43686294555664
2008-08-06,86.63999938964844,92.98846435546875,53.218814849853516
2008-08-07,86.08999633789062,91.60375213623047,54.085330963134766
2008-08-08,84.43000030517578,93.30585479736328,54.23264694213867
2008-08-11,81.12999725341797,94.2723159790039,53.71392822265625
2008-08-12,80.5199966430664,93.2914047241211,54.21501922607422
2008-08-13,81.55999755859375,92.7288589477539,54.026344299316406
2008-08-14,79.3499984741211,93.4284439086914,54.3741569519043
2008-08-15,77.62999725341797,93.8828353881836,54.84577178955078
2008-08-18,78.80000305175781,92.59905242919922,55.0638313293457
2008-08-19,80.43000030517578,91.58932495117188,54.851654052734375
2008-08-20,80.05999755859375,92.01482391357422,55.004878997802734
2008-08-21,82.30000305175781,92.17352294921875,54.904666900634766
2008-08-22,81.08000183105469,93.50779724121094,54.86933135986328
2008-08-25,80.93000030517578,91.61096954345703,55.41755676269531
2008-08-26,81.2300033569336,91.87781524658203,55.464717864990234
2008-08-27,81.36000061035156,92.77214813232422,55.559043884277344
2008-08-28,82.18000030517578,93.89724731445312,55.564903259277344
2008-08-29,81.70999908447266,92.88749694824219,55.317298889160156
2008-09-02,79.19999694824219,92.310546875,55.832027435302734
2008-09-03,78.88999938964844,92.231201171875,56.06871032714844
2008-09-04,78.38999938964844,89.45443725585938,56.518348693847656
2008-09-05,78.9800033569336,89.73572540283203,56.4887580871582
2008-09-08,78.86000061035156,91.58932495117188,56.725433349609375
2008-09-09,76.48999786376953,88.87026977539062,57.2874641418457
2008-09-10,74.22000122070312,89.23088836669922,56.932498931884766
2008-09-11,73.08000183105469,90.52188110351562,56.902915954589844
2008-09-12,75.55000305175781,90.94020080566406,56.16928482055664
2008-09-15,77.55999755859375,86.61282348632812,57.99147033691406
2008-09-16,76.79000091552734,88.06246185302734,57.979610443115234
2008-09-17,85.45999908447266,84.1029052734375,58.26960754394531
2008-09-18,82.80000305175781,86.5984115600586,57.41759490966797
2008-09-19,85.9800033569336,90.03752136230469,55.595394134521484
2008-09-22,89.18000030517578,87.99913787841797,55.58946990966797
2008-09-23,88.31999969482422,85.99702453613281,55.37652587890625
2008-09-24,86.70999908447266,86.27267456054688,55.619075775146484
2008-09-25,86.44999694824219,87.62191009521484,55.50664520263672
2008-09-26,86.63999938964844,87.66545104980469,55.90896987915039
2008-09-29,89.56999969482422,80.79583740234375,57.535953521728516
2008-09-30,85.06999969482422,84.13997650146484,56.1338005065918
2008-10-01,85.97000122070312,84.19076538085938,56.839969635009766
2008-10-02,82.33000183105469,81.13677978515625,57.29697799682617
2008-10-03,82.58999633789062,80.0414047241211,57.80134963989258
2008-10-06,84.27999877929688,75.96463775634766,58.85173034667969
2008-10-07,87.2699966430664,72.56245422363281,58.67372512817383
2008-10-08,89.41999816894531,70.73444366455078,57.83104705810547
2008-10-09,89.9000015258789,65.79442596435547,57.344390869140625
2008-10-10,83.22000122070312,64.19853973388672,56.94087600708008
2008-10-13,81.98999786376953,73.52001190185547,56.21091842651367
2008-10-14,82.19999694824219,72.431884765625,55.848915100097656
2008-10-15,83.30999755859375,65.30113983154297,56.38302230834961
